"state","school_name","district","address","latitude","longitude","overall_score","state_rank","national_rank","ap_taken_pct","ap_passed_pct","math_proficiency","reading_proficiency","science_proficiency","graduation_rate","graduation_rate_raw","year","source_url"
"California","Arthur A. Benjamin Health Professions High School","Sacramento City Unified School District","451 Mcclatchy Way, Sacramento, California 95818",38.56114152378,-121.510707180919,,,,,,7,67,15,87,"87%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/sacramento-city-unified-school-district/arthur-a-benjamin-health-professions-high-school-3162"
"California","John A. Rowland High School","Rowland Unified School District","2000 South Otterbein St., Rowland Heights, California 91748",33.982874394815,-117.885128079504,90.68,228,1668,47,36,47,75,37,94,"94%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/rowland-unified-school-district/john-a-rowland-high-school-3151"
"California","John F. Kennedy High School (Sacramento)","Sacramento City Unified School District","6715 Gloria Dr., Sacramento, California 95831",38.505046180337,-121.53434744603,57.48,897,7611,48,22,21,44,23,88,"88%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/sacramento-city-unified-school-district/john-f-kennedy-high-school-sacramento-3158"
"California","Capital City Independent Study","Sacramento City Unified School District","7222 24th St., Sacramento, California 95823",38.492292159234,-121.480707870943,,,,,,0,52,15,58,"58%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/sacramento-city-unified-school-district/capital-city-independent-study-3160"
"California","Hiram W. Johnson High School","Sacramento City Unified School District","6879 14th Ave., Sacramento, California 95820",38.5396623131,-121.423877375572,,,,11,6,8,22,13,76,"76%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/sacramento-city-unified-school-district/hiram-w-johnson-high-school-3157"
"California","George Washington Carver School of Arts and Science","Sacramento City Unified School District","10101 Systems Pkwy., Sacramento, California 95827",38.564044203787,-121.317938082147,35.31,1178,11580,31,20,10,45,35,68,"68%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/sacramento-city-unified-school-district/george-washington-carver-school-of-arts-and-science-3166"
"California","Nogales High School","Rowland Unified School District","401 South Nogales St., La Puente, California 91744",34.011840287359,-117.886843083891,66.24,746,6044,45,26,13,53,14,88,"88%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/rowland-unified-school-district/nogales-high-school-3152"
"California","The Met Sacramento High School","Sacramento City Unified School District","810 V St., Sacramento, California 95818",38.567715187614,-121.501681626105,26.37,1291,13180,,,19,48,42,83,"83%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/sacramento-city-unified-school-district/the-met-sacramento-high-school-3165"
"California","Saint Helena High School","Saint Helena Unified School District","1401 Grayson Ave., St. Helena, California 94574",38.496948536819,-122.463590868745,84.59,383,2758,55,37,34,76,32,91,"91%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/saint-helena-unified-school-district/saint-helena-high-school-3495"
"California","Hollister High","San Benito High","1220 Monterey St., Hollister, California 95023",36.841693320304,-121.404293059363,60.51,840,7069,39,29,19,45,27,94,"94%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/san-benito-high/hollister-high-3180"
